	Dynamic_model_log_likelihood	Constant_model_log_likelihood	log_likelihood_ratio	p_value	q_value
LINC01877	-2260.5791824714347	-2015.8007612839215	-244.77842118751323	1.0	1.0
AC012459.1	-2102.6637992028823	-1919.6620867684762	-183.00171243440604	1.0	1.0
LINC01792	-1702.0564446886383	-1488.6459350181851	-213.41050967045317	1.0	1.0
CFLAR	-14246.58295955022	-14237.62222898755	-8.960730562670506	1.0	1.0
CASP8	-865.5157883794412	-779.7153147167329	-85.80047366270833	1.0	1.0
PARD3B	-5735.279484956524	-5044.610703900664	-690.6687810558606	1.0	1.0
AC008269.1	-2381.921414473881	-2040.0930860565525	-341.82832841732875	1.0	1.0
CPS1	-1748.953061412467	-1579.4807887470681	-169.4722726653988	1.0	1.0
IKZF2	-3924.878207105759	-3510.567819182462	-414.3103879232972	1.0	1.0
BARD1	-7386.547265183103	-6563.68417895537	-822.8630862277332	1.0	1.0
FN1	-11335.109405823046	-11649.216167779778	314.10676195673113	0.0	0.0
IGFBP5	-36828.072362265484	-38708.34486678003	1880.272504514549	0.0	0.0
CXCR2	-383.40769782928777	-344.0029287079449	-39.404769121342895	1.0	1.0
CYP27A1	-8805.80150795821	-8758.686200272261	-47.11530768594821	1.0	1.0
AC009974.1	-358.55516966680864	-489.3278062512667	130.77263658445804	0.0	0.0
AC009955.4	-547.2811930637688	-502.91239437456653	-44.368798689202265	1.0	1.0
SERPINE2	-53006.21838021834	-55433.78725511544	2427.5688748971006	0.0	0.0
DOCK10	-12889.398768325977	-13573.879619677447	684.4808513514708	0.0	0.0
SP110	-6305.540477395073	-5545.16596009954	-760.3745172955332	1.0	1.0
SP140	-1042.8981376810107	-966.9032987243464	-75.99483895666424	1.0	1.0
GCSIR	-725.6092052672668	-689.536443579262	-36.07276168800479	1.0	1.0
PTMA	-122904.42500170252	-115020.38431129298	-7884.0406904095435	1.0	1.0
EFHD1	-35890.896066255504	-35477.139593610395	-413.75647264510917	1.0	1.0
SNORC	-21542.176063643827	-21845.555402584152	303.3793389403254	0.0	0.0
INPP5D	-3990.9117906917404	-3652.2462225514614	-338.665568140279	1.0	1.0
IQCA1	-17589.650512512217	-17862.47765829364	272.8271457814226	0.0	0.0
RBM44	-189.18052946402887	-188.35646286905086	-0.8240665949780066	1.0	1.0
OTOS	-4686.739388921719	-4126.702593091636	-560.0367958300831	1.0	1.0
BOK	-21734.872619304708	-21911.24427048827	176.3716511835628	0.0	0.0
AC018816.1	-214.63827796929468	-193.46049671626892	-21.177781253025756	1.0	1.0
AC066585.1	-380.30743531827267	-354.93658562321195	-25.370849695060713	1.0	1.0
AC023481.1	-853.1162419233598	-792.0745641791699	-61.04167774418988	1.0	1.0
AC090946.1	-212.20583599822078	-187.93925730448265	-24.266578693738126	1.0	1.0
GALNT15	-13886.767345625381	-14477.252171426835	590.4848258014536	0.0	0.0
KCNH8	-12093.202059348074	-13051.272568443997	958.0705090959236	0.0	0.0
TGFBR2	-4973.364133059025	-4473.221032693221	-500.14310036580446	1.0	1.0
GOLGA4	-74499.9150737989	-74007.46048329072	-492.4545905081759	1.0	1.0
C3orf35	-727.598860159324	-677.8180688890236	-49.78079127030037	1.0	1.0
CX3CR1	-6829.453295258951	-5985.677899239699	-843.7753960192513	1.0	1.0
MOBP	-103167.70656709613	-119237.7358856074	16070.029318511268	0.0	0.0
CCK	-113051.62556872428	-116647.00556192492	3595.379993200637	0.0	0.0
NKTR	-39910.46796269045	-39852.24666543295	-58.22129725749983	1.0	1.0
CCDC13	-2036.0609162230103	-1791.7748142993262	-244.2861019236841	1.0	1.0
CCDC13-AS1	-1286.330068217818	-1192.9739404673232	-93.3561277504948	1.0	1.0
ZNF662	-2591.378433549798	-2391.258055375013	-200.12037817478495	1.0	1.0
ZNF852	-550.7100164455331	-497.7253126033618	-52.98470384217137	1.0	1.0
ZNF35	-4051.628067769316	-3702.0285674675	-349.5995003018161	1.0	1.0
AC124045.1	-1470.96888985622	-1352.8353976484739	-118.13349220774603	1.0	1.0
KIF15	-894.6176068069124	-823.2179082388815	-71.39969856803089	1.0	1.0
LIMD1-AS1	-576.9873093521478	-502.6341890617313	-74.35312029041648	1.0	1.0
CCRL2	-1017.4736993992075	-936.5484258525721	-80.92527354663537	1.0	1.0
TDGF1	-156.75401090561633	-184.15845809768763	27.404447192071302	1.3289369604763124e-13	4.788962019734459e-13
SMARCC1	-32321.454251786385	-33522.9180353685	1201.4637835821159	0.0	0.0
LAMB2	-8306.327107480227	-8676.608003964657	370.28089648442983	0.0	0.0
INKA1	-1535.7373216513674	-1384.2618298389684	-151.475491812399	1.0	1.0
SEMA3B	-24305.55250488415	-25147.23042776739	841.677922883242	0.0	0.0
HYAL1	-720.8005628799328	-651.8351163436754	-68.96544653625745	1.0	1.0
TLR9	-1121.1498385362984	-1073.1038101815009	-48.0460283547975	1.0	1.0
PHF7	-1911.1185637037531	-1787.8608895216673	-123.2576741820858	1.0	1.0
MUSTN1	-9223.016185285775	-9362.038986501253	139.02280121547847	0.0	0.0
SFMBT1	-3843.858457892425	-3902.2575771076895	58.39911921526436	0.0	0.0
HESX1	-708.0541894755102	-649.1515068010382	-58.902682674471976	1.0	1.0
ARF4-AS1	-1024.5616994134396	-907.2566880702676	-117.30501134317194	1.0	1.0
PXK	-31284.181272493894	-33589.04162444319	2304.860351949297	0.0	0.0
AC012557.2	-381.13815460562887	-351.7380955428919	-29.400059062736943	1.0	1.0
ADAMTS9	-3952.0316600784713	-3464.9534481638984	-487.0782119145729	1.0	1.0
LRIG1	-29624.22720626457	-30354.855034612487	730.627828347915	0.0	0.0
SUCLG2	-9704.574800440283	-9787.992681075128	83.41788063484455	0.0	0.0
SUCLG2-AS1	-3667.5208492288953	-3295.4860479117297	-372.0348013171656	1.0	1.0
FRMD4B	-16859.60542126513	-17322.10271873968	462.4972974745506	0.0	0.0
FOXP1-IT1	-391.75232543384715	-364.06837161904065	-27.6839538148065	1.0	1.0
AC117464.1	-617.3777752250871	-637.8521466423927	20.47437141730552	1.5627454885702718e-10	5.591218205975928e-10
VGLL3	-712.2387344938302	-637.1308883543865	-75.10784613944372	1.0	1.0
CRYBG3	-10879.776687736301	-11149.53819473489	269.76150699858954	0.0	0.0
CLDND1	-83797.19973005196	-75114.70137381829	-8682.498356233671	1.0	1.0
ABI3BP	-2297.630864251429	-2057.145121604486	-240.48574264694298	1.0	1.0
AC063944.1	-540.2320667217665	-490.1080808083781	-50.123985913388424	1.0	1.0
BBX	-34708.14643357082	-35277.47837966458	569.3319460937564	0.0	0.0
MYH15	-3183.656172221917	-3243.8423574472695	60.18618522535235	0.0	0.0
MORC1	-1009.1822462146861	-904.4097301105077	-104.77251610417841	1.0	1.0
CCDC80	-11504.998668159335	-11618.625975011266	113.62730685193128	0.0	0.0
AC026329.1	-379.6686866828899	-355.9843603261259	-23.684326356764018	1.0	1.0
CFAP44	-8329.253753949095	-7239.325492303919	-1089.9282616451756	1.0	1.0
CCDC191	-7913.267673136397	-8068.572299596147	155.30462645974967	0.0	0.0
ZBTB20	-35999.08555947399	-36583.59346486536	584.5079053913651	0.0	0.0
LINC02024	-1167.000625005342	-1038.7410701703004	-128.25955483504163	1.0	1.0
ADPRH	-728.8931134987653	-652.1526818893046	-76.74043160946064	1.0	1.0
PLA1A	-387.11276950087336	-346.0179361171913	-41.094833383682044	1.0	1.0
AC072026.2	-213.8099124651831	-187.26461103922134	-26.545301425961753	1.0	1.0
SLC15A2	-8191.418792163799	-9189.251271169514	997.8324790057159	0.0	0.0
CD86	-2225.0940634119206	-1995.9556775803794	-229.1383858315412	1.0	1.0
PARP9	-4316.897016848258	-4443.394661212551	126.49764436429268	0.0	0.0
PARP14	-8278.247101298859	-7111.2718194393965	-1166.9752818594625	1.0	1.0
AC092902.4	-1615.5305045014352	-1510.634179095522	-104.8963254059131	1.0	1.0
TXNRD3	-1348.4438747318407	-1153.0305520652337	-195.41332266660697	1.0	1.0
EFCC1	-885.9410010462728	-834.8509202038861	-51.09008084238678	1.0	1.0
TF	-64404.79189254755	-71430.40561867807	7025.613726130512	0.0	0.0
NCK1-DT	-1583.5787732042686	-1419.4036977124772	-164.1750754917914	1.0	1.0
PCOLCE2	-1437.9797979281436	-1287.6550149207576	-150.32478300738603	1.0	1.0
AC092958.1	-4977.54242219707	-4118.100146307902	-859.4422758891678	1.0	1.0
AGTR1	-536.2587725924858	-502.642013667105	-33.61675892538079	1.0	1.0
CP	-3455.0703233997324	-2975.9760666744933	-479.0942567252391	1.0	1.0
TM4SF1	-4508.339056384935	-3918.815873497203	-589.5231828877322	1.0	1.0
WWTR1	-7573.330295412439	-6795.184079197896	-778.1462162145435	1.0	1.0
ERICH6-AS1	-1063.009159283457	-923.0241551820858	-139.98500410137115	1.0	1.0
SIAH2-AS1	-390.1931134300812	-361.12360300950957	-29.069510420571646	1.0	1.0
P2RY13	-1781.0760824172019	-1524.6669588895772	-256.4091235276246	1.0	1.0
P2RY12	-1337.4275422817777	-1255.6488590383392	-81.77868324343854	1.0	1.0
TIPARP	-8756.089430060347	-7313.34812865386	-1442.7413014064869	1.0	1.0
IL12A	-716.3557200597626	-672.958006109572	-43.397713950190564	1.0	1.0
TRIM59	-10355.389116096403	-10884.843501547766	529.4543854513631	0.0	0.0
LINC01322	-10979.788903122153	-10551.93489562383	-427.85400749832297	1.0	1.0
WDR49	-2011.247242282403	-1779.9149637333642	-231.33227854903885	1.0	1.0
GOLIM4	-47648.710244943264	-47933.44408554436	284.73384060109674	0.0	0.0
AC069243.1	-218.19961719716008	-206.66571630761956	-11.533900889540519	1.0	1.0
MECOM	-1225.5020538644435	-1095.636276567271	-129.8657772971726	1.0	1.0
CLDN11	-41230.64277596048	-42092.44843845086	861.8056624903838	0.0	0.0
SLC7A14-AS1	-5485.294684770489	-4824.2504084565835	-661.0442763139054	1.0	1.0
PLD1	-7532.764143368234	-6400.6288078551115	-1132.1353355131223	1.0	1.0
NAALADL2	-2544.5618655903477	-2338.1164982414743	-206.44536734887333	1.0	1.0
SOX2-OT	-71738.49571183117	-67046.47341865687	-4692.022293174305	1.0	1.0
AC068308.1	-5142.90774378015	-4925.209067861012	-217.6986759191377	1.0	1.0
SOX2	-57657.983842081114	-56055.25517090361	-1602.7286711775014	1.0	1.0
B3GNT5	-3458.6997151643805	-3069.1809462157507	-389.5187689486297	1.0	1.0
YEATS2-AS1	-1313.1685986649293	-1168.568048991888	-144.60054967304131	1.0	1.0
EPHB3	-3199.2489601327325	-2807.9457576276627	-391.30320250506975	1.0	1.0
MASP1	-4588.517872720247	-4452.656583915476	-135.861288804771	1.0	1.0
AC007920.2	-877.0043976552948	-817.3266343627513	-59.677763292543546	1.0	1.0
SST	-16694.411449530096	-16843.715520096597	149.30407056650074	0.0	0.0
BCL6	-18406.898635562924	-18539.797749057358	132.89911349443355	0.0	0.0
AC072022.2	-536.5285707179768	-493.4404470531534	-43.0881236648234	1.0	1.0
LPP	-9872.488664160539	-9962.259543485627	89.77087932508766	0.0	0.0
CLDN1	-1339.2560759084092	-1238.2839317583837	-100.97214415002554	1.0	1.0
HES1	-16293.305323507106	-16461.827729670542	168.52240616343624	0.0	0.0
APOD	-83015.15037343846	-76240.84048389996	-6774.309889538505	1.0	1.0
AC024560.4	-1482.4245938936365	-1277.8152254826095	-204.60936841102694	1.0	1.0
FYTTD1	-13236.190759423183	-13475.822406244079	239.63164682089518	0.0	0.0
AC135893.1	-1779.6725776167423	-1512.4158912103912	-267.25668640635104	1.0	1.0
AC139887.4	-385.05904667516313	-350.74823054599557	-34.31081612916756	1.0	1.0
RGS12	-18222.456864750446	-19274.379296663854	1051.9224319134082	0.0	0.0
MSX1	-7600.192035745582	-8442.555749724625	842.3637139790426	0.0	0.0
EVC2	-705.4856878839486	-639.3419652021203	-66.14372268182831	1.0	1.0
LINC02447	-1181.8154897850382	-1026.274984528953	-155.54050525608523	1.0	1.0
HMX1	-1039.3371937856286	-960.1989908884254	-79.1382028972032	1.0	1.0
AC108519.1	-3453.62277448972	-2941.302965119693	-512.3198093700271	1.0	1.0
AC005674.2	-385.135689317569	-349.03089338269587	-36.10479593487315	1.0	1.0
AC006230.1	-546.7576853738935	-512.2934066660321	-34.46427870786147	1.0	1.0
BOD1L1	-77885.51743745233	-69350.75295424851	-8534.76448320382	1.0	1.0
AC006427.2	-1167.0792504733715	-1054.2443221867286	-112.83492828664293	1.0	1.0
LINC02473	-1040.324671959006	-915.0855533941173	-125.23911856488883	1.0	1.0
RBPJ	-31544.14739239507	-32091.270939821356	547.1235474262867	0.0	0.0
STIM2-AS1	-894.8164484448697	-844.879977665198	-49.93647077967171	1.0	1.0
C4orf19	-1750.362080312685	-1583.4548946602229	-166.9071856524622	1.0	1.0
TLR10	-1050.543319475085	-913.7699839722591	-136.77333550282583	1.0	1.0
TLR1	-860.9171948024846	-759.2693461600351	-101.6478486424495	1.0	1.0
TLR6	-216.44625755449	-183.37856513961833	-33.06769241487166	1.0	1.0
FAM114A1	-7960.154496047479	-6970.100039193767	-990.0544568537125	1.0	1.0
AC079921.1	-1460.2658368595237	-1331.164034097274	-129.1018027622497	1.0	1.0
RFC1	-33375.40982718419	-33866.67969757046	491.26987038626976	0.0	0.0
UGDH-AS1	-1109.3336995182035	-1003.4536271950777	-105.88007232312577	1.0	1.0
RBM47	-1176.65504327758	-1053.5335248242875	-123.12151845329254	1.0	1.0
SHISA3	-535.4168747363296	-496.8229091710699	-38.59396556525974	1.0	1.0
YIPF7	-542.2253986745394	-500.9613917285647	-41.2640069459747	1.0	1.0
FRYL	-19729.237484561054	-20757.238544959782	1028.0010603987284	0.0	0.0
PDGFRA	-12809.612023698071	-11195.90107259473	-1613.7109511033414	1.0	1.0
LINC02283	-385.4691498105567	-346.019294095218	-39.449855715338686	1.0	1.0
KIT	-8979.436012028318	-27318763336.692726	27318754357.256714	0.0	0.0
KDR	-3273.425443324279	-2973.753258562142	-299.672184762137	1.0	1.0
SRD5A3-AS1	-562.1130161550794	-509.5419889838889	-52.57102717119051	1.0	1.0
TMEM165	-22972.156786548847	-23883.52406134016	911.3672747913115	0.0	0.0
CEP135	-5622.717827189617	-8468926241689.161	8468926236066.443	0.0	0.0
REST	-13239.073902180351	-13013.036806724387	-226.03709545596394	1.0	1.0
AC069307.1	-398.28583217512147	-377.58064402162756	-20.705188153493907	1.0	1.0
IGFBP7	-39667.63860764586	-39887.18774307868	219.54913543281873	0.0	0.0
YTHDC1	-51625.50718363483	-52553.88694412339	928.3797604885622	0.0	0.0
SLC4A4	-35023.289876223345	-36561.319780252095	1538.02990402875	0.0	0.0
CXCL3	-561.0345644119533	-505.1347918063274	-55.899772605625856	1.0	1.0
CXCL2	-3394.5632992003493	-3443.4685082223923	48.90520902204298	0.0	0.0
BTC	-400.2094405444774	-359.1456060421133	-41.0638345023641	1.0	1.0
LINC01094	-6763.46930825095	-6070.177785585388	-693.2915226655623	1.0	1.0
AC098818.2	-386.43376360146715	-365.1917881262159	-21.24197547525125	1.0	1.0
BMP2K	-12358.81677983773	-12510.218113220602	151.4013333828716	0.0	0.0
LINC01088	-2616.0928803319234	-2359.5521404938945	-256.5407398380289	1.0	1.0
THAP9	-2037.4036281506333	-1890.7535335209132	-146.65009462972012	1.0	1.0
HPSE	-1455.800019684562	-1296.931009419967	-158.86901026459486	1.0	1.0
ABRAXAS1	-2766.7004251493963	-2527.4444588072047	-239.25596634219164	1.0	1.0
PTPN13	-12788.472168439077	-12938.749973292382	150.2778048533055	0.0	0.0
AC093827.4	-2320.360128938913	-2019.4941364479216	-300.8659924909914	1.0	1.0
SPP1	-50168.21783272938	-53576.69405356849	3408.476220839111	0.0	0.0
ABCG2	-9448.85391956877	-8718.273378137612	-730.580541431158	1.0	1.0
AC104785.1	-846.1554599017331	-764.5085487964087	-81.64691110532442	1.0	1.0
MMRN1	-552.1781522056547	-508.36135089273455	-43.81680131292012	1.0	1.0
BMPR1B	-11891.32806534479	-11944.66537368109	53.33730833630034	0.0	0.0
ADH1B	-718.843579776497	-639.3171967724884	-79.52638300400861	1.0	1.0
DDIT4L	-3048.290335429391	-3099.64602222898	51.35568679958942	0.0	0.0
LINC02503	-395.90576018548035	-358.3303932749453	-37.575366910535024	1.0	1.0
AC096564.1	-15448.414359912813	-17119.24013777061	1670.8257778577954	0.0	0.0
AC096564.2	-391.1567805148726	-342.81907739966925	-48.33770311520334	1.0	1.0
LARP7	-37371.8381887356	-37891.43716340864	519.5989746730411	0.0	0.0
UGT8	-19890.79430709924	-21878.8148804861	1988.0205733868606	0.0	0.0
USP53	-12387.787908549504	-12440.10276044813	52.31485189862542	0.0	0.0
ANXA5	-22293.85522430619	-22554.9483269038	261.0931025976097	0.0	0.0
AC097462.3	-732.492293890518	-631.5542352087675	-100.93805868175048	1.0	1.0
LINC02615	-2393.2297310891427	-2205.5122829127677	-187.717448176375	1.0	1.0
SCLT1	-18434.526538962727	-18644.035228255827	209.50868929309945	0.0	0.0
SLC7A11	-21962.24934896446	-22155.27631174269	193.0269627782327	0.0	0.0
AC097376.3	-3387.300510211749	-3539.094771746693	151.79426153494387	0.0	0.0
MAML3	-2184.8014339369415	-1888.598617756852	-296.2028161800895	1.0	1.0
GAB1	-13750.187262104682	-14134.30015939307	384.1128972883871	0.0	0.0
HHIP	-18053.95881568772	-19733.14836444176	1679.1895487540387	0.0	0.0
SH3D19	-8119.807172059029	-6720.080934499214	-1399.7262375598148	1.0	1.0
AC095055.1	-416.6731629911905	-362.1316064913269	-54.54155649986359	1.0	1.0
TLR2	-1004.8211837759991	-904.5075705449925	-100.31361323100657	1.0	1.0
SFRP2	-15660.913173025563	-16131.03925599951	470.12608297394763	0.0	0.0
AC097526.1	-802.4051675279474	-785.0228632935971	-17.382304234350272	1.0	1.0
AC098679.1	-546.6651874252444	-520.7711242210772	-25.894063204167196	1.0	1.0
TMEM144	-37538.69409512166	-41796.13112857227	4257.437033450609	0.0	0.0
AC098679.5	-1114.3282664901117	-1040.915256575443	-73.41300991466869	1.0	1.0
FSTL5	-10888.64494795998	-14650.095172299661	3761.450224339682	0.0	0.0
TMA16	-4751.478176160342	-4952.3935464760325	200.91537031569078	0.0	0.0
SPOCK3	-32962.67422584079	-33916.948765737325	954.2745398965344	0.0	0.0
NEK1	-20080.21028767546	-20187.60004666044	107.38975898497665	0.0	0.0
AC084866.1	-214.15187208492245	-191.3418655634525	-22.810006521469944	1.0	1.0
GALNT7	-5275.229872314012	-4862.7619611275895	-412.4679111864225	1.0	1.0
VEGFC	-880.1233676992168	-824.1578262609447	-55.96554143827211	1.0	1.0
IRF2	-6393.658595377824	-6383.459574147809	-10.199021230015205	1.0	1.0
AC099343.3	-1043.5345708700315	-972.6790001774641	-70.85557069256743	1.0	1.0
LINC02427	-404.9022378937382	-355.0440248236074	-49.85821307013077	1.0	1.0
CENPU	-564.9837835845398	-531.3329958489999	-33.65078773553989	1.0	1.0
C4orf47	-565.5129249453403	-527.5959919571203	-37.91693298821997	1.0	1.0
PDLIM3	-6590.284668845099	-5721.330512731763	-868.9541561133365	1.0	1.0
LINC02145	-390.7902955656139	-347.3502429518301	-43.44005261378379	1.0	1.0
LINC02199	-877.3956172892571	-771.535118550801	-105.86049873845604	1.0	1.0
SEMA5A	-12390.487131446063	-12341.729365614861	-48.75776583120205	1.0	1.0
AC010491.2	-984.0667912058922	-882.8498531699798	-101.21693803591234	1.0	1.0
MYO10	-49089.977281944826	-49599.04792051461	509.07063856978493	0.0	0.0
C1QTNF3	-3734.792011319579	-3151.9885393090985	-582.8034720104806	1.0	1.0
RAI14	-8531.650586271542	-8801.821198069352	270.1706117978101	0.0	0.0
TTC23L	-998.5724216770676	-942.6356890645458	-55.93673261252184	1.0	1.0
IL7R	-674.4144453804728	-618.2601977636682	-56.15424761680458	1.0	1.0
AC025449.2	-881.8268807566576	-789.2423271632007	-92.58455359345692	1.0	1.0
FYB1	-9060.161551207764	-8360.833645412922	-699.3279057948421	1.0	1.0
SELENOP	-50555.923127924354	-52857.32744502848	2301.4043171041267	0.0	0.0
AC008945.1	-870.3740459205669	-798.2665471678574	-72.10749875270949	1.0	1.0
AC025171.2	-2100.9345919193706	-1896.6050673512382	-204.32952456813246	1.0	1.0
AC025171.4	-540.9814112209451	-486.8602460790613	-54.12116514188381	1.0	1.0
ITGA2	-5139.7572397081485	-4340.875803825825	-798.8814358823238	1.0	1.0
GPX8	-149.19166788471722	-188.721198581693	39.52953069697577	0.0	0.0
DDX4	-129.77982367611762	-188.89395260532993	59.11412892921231	0.0	0.0
LINC01948	-552.6862391865845	-515.275396642088	-37.41084254449652	1.0	1.0
MAP3K1	-3661.2095718175738	-3141.836501038262	-519.3730707793115	1.0	1.0
SETD9	-2647.139025508423	-2361.016539458981	-286.12248604944216	1.0	1.0
C5orf64	-4406.661056106215	-3980.3046483028324	-426.3564078033828	1.0	1.0
SREK1IP1	-14196.617183698954	-12524.482371440748	-1672.1348122582058	1.0	1.0
ERBIN	-47625.30766220511	-57422.9543266295	9797.646664424392	0.0	0.0
AC010359.3	-2766.9785718280555	-2497.064483269595	-269.91408855846066	1.0	1.0
CD180	-541.8689428775697	-488.2008441429955	-53.66809873457419	1.0	1.0
MARVELD2	-894.3147794473026	-821.9633018127042	-72.35147763459838	1.0	1.0
GTF2H2C	-1705.5505657096694	-1528.6612915654698	-176.8892741441996	1.0	1.0
CARTPT	-11358.986569194461	-12906.997169711183	1548.0106005167218	0.0	0.0
TMEM171	-1023.4587515692053	-937.4536844985255	-86.00506707067984	1.0	1.0
ENC1	-106793.28532820937	-124359.63598610304	17566.350657893665	0.0	0.0
NSA2	-37083.26115048542	-37552.683780883875	469.4226303984542	0.0	0.0
ZBED3-AS1	-3743.5541120087137	-3096.4340607162803	-647.1200512924333	1.0	1.0
AP3B1	-13284.542260679309	-13554.838994792852	270.2967341135427	0.0	0.0
SERINC5	-11213.18170473608	-11583.985800506076	370.8040957699959	0.0	0.0
ZFYVE16	-24192.825736294777	-25012.331985707388	819.5062494126105	0.0	0.0
ANKRD34B	-213.2605725752722	-196.0481778481187	-17.21239472715348	1.0	1.0
LINC01338	-1563.4777824112562	-1430.094188868829	-133.3835935424272	1.0	1.0
XRCC4	-3586.090512488114	-3248.329654728383	-337.76085775973115	1.0	1.0
VCAN	-37129.300105555674	-38545.01038722151	1415.710281665837	0.0	0.0
EDIL3	-62725.87383885803	-62533.16997184389	-192.703867014141	1.0	1.0
AC093510.2	-398.2891730656814	-343.09106872702057	-55.19810433866081	1.0	1.0
CETN3	-10840.923508741356	-10969.538457763183	128.61494902182676	0.0	0.0
ADGRV1	-15683.039828979894	-15839.044033709222	156.0042047293282	0.0	0.0
LUCAT1	-524.3245746954849	-481.7361784405214	-42.58839625496347	1.0	1.0
POU5F2	-896.054233770737	-805.4508150384421	-90.60341873229493	1.0	1.0
RHOBTB3	-49162.38973960317	-49443.83455385673	281.4448142535621	0.0	0.0
LINC01554	-1289.5682739496708	-1193.9535142577731	-95.61475969189769	1.0	1.0
LIX1	-13347.667632380955	-13461.105096158266	113.43746377731077	0.0	0.0
RGMB-AS1	-552.6782779783505	-509.79899264009083	-42.87928533825965	1.0	1.0
CHD1	-13887.93206056079	-14051.190985598269	163.25892503747855	0.0	0.0
SLCO4C1	-562.2450126205862	-493.7404171110667	-68.5045955095195	1.0	1.0
GIN1	-5126.312619700603	-5237.9120619282185	111.59944222761533	0.0	0.0
AC008505.1	-3839.9671178196827	-3370.868845138935	-469.09827268074787	1.0	1.0
MAN2A1	-15470.95875168983	-16119.021260236103	648.0625085462725	0.0	0.0
CCDC112	-14006.166740347637	-14250.695354474068	244.52861412643142	0.0	0.0
SEMA6A	-14233.51246903378	-14420.516289310193	187.00382027641353	0.0	0.0
PRDM6	-131.89479633519036	-186.2961629283428	54.40136659315243	0.0	0.0
LINC01170	-2411.001736946074	-2208.399243936527	-202.60249300954683	1.0	1.0
ZNF608	-13785.949312373577	-12138.044698026371	-1647.904614347206	1.0	1.0
GRAMD2B	-24174.89719548971	-24286.886124270804	111.98892878109473	0.0	0.0
ALDH7A1	-38968.270557589225	-35286.82769478291	-3681.442862806318	1.0	1.0
LMNB1	-1873.6447269759403	-1754.781487728586	-118.86323924735439	1.0	1.0
MARCH3	-2178.764348201556	-1855.000800965749	-323.763547235807	1.0	1.0
MEGF10	-13550.918092320742	-13709.803628524129	158.88553620338644	0.0	0.0
SLC12A2	-30695.75482984579	-32024.894737284154	1329.1399074383626	0.0	0.0
AC034228.1	-827.7907060814861	-776.6129542441951	-51.177751837291	1.0	1.0
PDLIM4	-4434.248197009658	-4495.293501850262	61.04530484060433	0.0	0.0
RAD50	-33975.61294361838	-34206.5003149627	230.8873713443245	0.0	0.0
SHROOM1	-8744.754745591614	-8835.721347648498	90.96660205688386	0.0	0.0
AC113410.4	-563.7595515555286	-501.421491246324	-62.338060309204536	1.0	1.0
CATSPER3	-539.7919480913218	-493.9355988017639	-45.856349289557954	1.0	1.0
AC026691.1	-2959.3991769664867	-2651.001624552894	-308.3975524135926	1.0	1.0
CXCL14	-39804.1358710994	-48939.977751620114	9135.841880520711	0.0	0.0
SLC25A48	-4843.497016598941	-4362.985524999946	-480.5114915989943	1.0	1.0
ECSCR	-722.2237909641323	-659.1548335820378	-63.06895738209448	1.0	1.0
AC113361.1	-529.1466983084463	-496.52964518193596	-32.617053126510314	1.0	1.0
MALINC1	-1912.9880589228476	-1661.4994807571077	-251.4885781657399	1.0	1.0
AC011379.1	-846.7975513606297	-804.4777664531346	-42.31978490749509	1.0	1.0
AC005609.5	-562.9625850996064	-504.222121218099	-58.74046388150737	1.0	1.0
PCDHA10	-1050.022468619378	-971.5045437198038	-78.51792489957427	1.0	1.0
PCDHGB7	-707.9554978970705	-627.6395090933851	-80.3159888036854	1.0	1.0
FGF1	-49385.489024225506	-54383.147108772195	4997.658084546689	0.0	0.0
AC011373.1	-385.45496311825815	-374.64920520028994	-10.805757917968208	1.0	1.0
AC011346.1	-3548.969472208555	-3058.2793619033514	-490.6901103052037	1.0	1.0
SH3TC2	-4066.2867139562263	-3623.9777270817262	-442.3089868745001	1.0	1.0
CARMN	-2522.634835007419	-2208.023753775033	-314.6110812323859	1.0	1.0
ARHGEF37	-9259.163194745572	-9786.425274988927	527.2620802433557	0.0	0.0
CSF1R	-8376.45254279835	-8365.668147101316	-10.784395697033688	1.0	1.0
CD74	-41567.72439150801	-41953.56592563848	385.8415341304717	0.0	0.0
SMIM3	-2765.668484951006	-2515.003115000267	-250.6653699507392	1.0	1.0
GM2A	-13163.439018630908	-13069.197996912897	-94.24102171801132	1.0	1.0
SPARC	-55341.249436636645	-56397.0506880309	1055.8012513942522	0.0	0.0
AC008571.2	-1335.3034465260182	-1211.4644114527848	-123.83903507323339	1.0	1.0
GALNT10	-5476.037067269106	-5603.046846075029	127.0097788059229	0.0	0.0
NIPAL4	-2384.025898516606	-2054.1297890948786	-329.8961094217275	1.0	1.0
EBF1	-3573.2214118899747	-3224.127175489015	-349.09423640095974	1.0	1.0
PWWP2A	-14907.463744823284	-14878.030073479014	-29.433671344269897	1.0	1.0
C1QTNF2	-1462.5627792715882	-1311.189566220137	-151.3732130514511	1.0	1.0
ATP10B	-4332.568734050414	-3812.074130230552	-520.4946038198618	1.0	1.0
HMMR	-566.3193051968619	-487.823155458707	-78.49614973815494	1.0	1.0
DOCK2	-1669.8625674685077	-1522.5791863834547	-147.28338108505295	1.0	1.0
INSYN2B	-3268.6585871599705	-2824.7211020582545	-443.937485101716	1.0	1.0
RANBP17	-1749.4896622036172	-1601.3524436975824	-148.13721850603474	1.0	1.0
SH3PXD2B	-3854.1707399234747	-3655.6412853460038	-198.52945457747091	1.0	1.0
DUSP1	-45749.11335165597	-46060.18924677671	311.075895120739	0.0	0.0
